ProductKey,EnglishProductName,EnglishProductCategoryName,EnglishProductSubcategoryName,StandardCost,ListPrice,StartDate,end_date
212,"Sport-100 Helmet, Red",Accessories,Helmets,12.0278,33.6442,2011-07-01 00:00:00.000,2011-07-01 00:00:00.000
213,"Sport-100 Helmet, Red",Accessories,Helmets,13.8782,33.6442,2012-07-01 00:00:00.000,2012-07-01 00:00:00.000
214,"Sport-100 Helmet, Red",Accessories,Helmets,13.0863,34.99,2013-07-01 00:00:00.000,2013-07-01 00:00:00.000
215,"Sport-100 Helmet, Black",Accessories,Helmets,12.0278,33.6442,2011-07-01 00:00:00.000,2011-07-01 00:00:00.000
216,"Sport-100 Helmet, Black",Accessories,Helmets,13.8782,33.6442,2012-07-01 00:00:00.000,2012-07-01 00:00:00.000
217,"Sport-100 Helmet, Black",Accessories,Helmets,13.0863,34.99,2013-07-01 00:00:00.000,2013-07-01 00:00:00.000
218,"Mountain Bike Socks, M",Clothing,Socks,3.3963,9.50,2011-07-01 00:00:00.000,2011-07-01 00:00:00.000
219,"Mountain Bike Socks, L",Clothing,Socks,3.3963,9.50,2011-07-01 00:00:00.000,2011-07-01 00:00:00.000
220,"Sport-100 Helmet, Blue",Accessories,Helmets,12.0278,33.6442,2011-07-01 00:00:00.000,2011-07-01 00:00:00.000
221,"Sport-100 Helmet, Blue",Accessories,Helmets,13.8782,33.6442,2012-07-01 00:00:00.000,2012-07-01 00:00:00.000
222,"Sport-100 Helmet, Blue",Accessories,Helmets,13.0863,34.99,2013-07-01 00:00:00.000,2013-07-01 00:00:00.000
223,AWC Logo Cap,Clothing,Caps,5.7052,8.6442,2011-07-01 00:00:00.000,2011-07-01 00:00:00.000
224,AWC Logo Cap,Clothing,Caps,5.2297,8.6442,2012-07-01 00:00:00.000,2012-07-01 00:00:00.000
225,AWC Logo Cap,Clothing,Caps,6.9223,8.99,2013-07-01 00:00:00.000,2013-07-01 00:00:00.000
226,"Long-Sleeve Logo Jersey, S",Clothing,Jerseys,31.7244,48.0673,2011-07-01 00:00:00.000,2011-07-01 00:00:00.000
227,"Long-Sleeve Logo Jersey, S",Clothing,Jerseys,29.0807,48.0673,2012-07-01 00:00:00.000,2012-07-01 00:00:00.000
228,"Long-Sleeve Logo Jersey, S",Clothing,Jerseys,38.4923,49.99,2013-07-01 00:00:00.000,2013-07-01 00:00:00.000
229,"Long-Sleeve Logo Jersey, M",Clothing,Jerseys,31.7244,48.0673,2011-07-01 00:00:00.000,2011-07-01 00:00:00.000
230,"Long-Sleeve Logo Jersey, M",Clothing,Jerseys,29.0807,48.0673,2012-07-01 00:00:00.000,2012-07-01 00:00:00.000
231,"Long-Sleeve Logo Jersey, M",Clothing,Jerseys,38.4923,49.99,2013-07-01 00:00:00.000,2013-07-01 00:00:00.000
232,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,31.7244,48.0673,2011-07-01 00:00:00.000,2011-07-01 00:00:00.000
233,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,29.0807,48.0673,2012-07-01 00:00:00.000,2012-07-01 00:00:00.000
234,"Long-Sleeve Logo Jersey, L",Clothing,Jerseys,38.4923,49.99,2013-07-01 00:00:00.000,2013-07-01 00:00:00.000
235,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,31.7244,48.0673,2011-07-01 00:00:00.000,2011-07-01 00:00:00.000
236,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,29.0807,48.0673,2012-07-01 00:00:00.000,2012-07-01 00:00:00.000
237,"Long-Sleeve Logo Jersey, XL",Clothing,Jerseys,38.4923,49.99,2013-07-01 00:00:00.000,2013-07-01 00:00:00.000
238,"HL Road Frame - Red, 62",Components,Road Frames,747.9682,1263.4598,2011-07-01 00:00:00.000,2011-07-02 00:00:00.000
239,"HL Road Frame - Red, 62",Components,Road Frames,722.2568,1301.3636,2012-07-01 00:00:00.000,2012-07-02 00:00:00.000
240,"HL Road Frame - Red, 62",Components,Road Frames,868.6342,1431.50,2013-07-01 00:00:00.000,2013-07-02 00:00:00.000
241,"HL Road Frame - Red, 44",Components,Road Frames,747.9682,1263.4598,2011-07-01 00:00:00.000,2011-07-02 00:00:00.000
242,"HL Road Frame - Red, 44",Components,Road Frames,722.2568,1301.3636,2012-07-01 00:00:00.000,2012-07-02 00:00:00.000
243,"HL Road Frame - Red, 44",Components,Road Frames,868.6342,1431.50,2013-07-01 00:00:00.000,2013-07-02 00:00:00.000
244,"HL Road Frame - Red, 48",Components,Road Frames,747.9682,1263.4598,2011-07-01 00:00:00.000,2011-07-02 00:00:00.000
245,"HL Road Frame - Red, 48",Components,Road Frames,722.2568,1301.3636,2012-07-01 00:00:00.000,2012-07-02 00:00:00.000
246,"HL Road Frame - Red, 48",Components,Road Frames,868.6342,1431.50,2013-07-01 00:00:00.000,2013-07-02 00:00:00.000
247,"HL Road Frame - Red, 52",Components,Road Frames,747.9682,1263.4598,2011-07-01 00:00:00.000,2011-07-02 00:00:00.000
248,"HL Road Frame - Red, 52",Components,Road Frames,722.2568,1301.3636,2012-07-01 00:00:00.000,2012-07-02 00:00:00.000
249,"HL Road Frame - Red, 52",Components,Road Frames,868.6342,1431.50,2013-07-01 00:00:00.000,2013-07-02 00:00:00.000
250,"HL Road Frame - Red, 56",Components,Road Frames,747.9682,1263.4598,2011-07-01 00:00:00.000,2011-07-02 00:00:00.000
251,"HL Road Frame - Red, 56",Components,Road Frames,722.2568,1301.3636,2012-07-01 00:00:00.000,2012-07-02 00:00:00.000
252,"HL Road Frame - Red, 56",Components,Road Frames,868.6342,1431.50,2013-07-01 00:00:00.000,2013-07-02 00:00:00.000
253,"LL Road Frame - Black, 58",Components,Road Frames,176.1997,297.6346,2011-07-01 00:00:00.000,2011-07-02 00:00:00.000
254,"LL Road Frame - Black, 58",Components,Road Frames,170.1428,306.5636,2012-07-01 00:00:00.000,2012-07-02 00:00:00.000
255,"LL Road Frame - Black, 58",Components,Road Frames,204.6251,337.22,2013-07-01 00:00:00.000,2013-07-02 00:00:00.000
256,"LL Road Frame - Black, 60",Components,Road Frames,176.1997,297.6346,2011-07-01 00:00:00.000,2011-07-02 00:00:00.000
257,"LL Road Frame - Black, 60",Components,Road Frames,170.1428,306.5636,2012-07-01 00:00:00.000,2012-07-02 00:00:00.000
258,"LL Road Frame - Black, 60",Components,Road Frames,204.6251,337.22,2013-07-01 00:00:00.000,2013-07-02 00:00:00.000
259,"LL Road Frame - Black, 62",Components,Road Frames,176.1997,297.6346,2011-07-01 00:00:00.000,2011-07-02 00:00:00.000
260,"LL Road Frame - Black, 62",Components,Road Frames,170.1428,306.5636,2012-07-01 00:00:00.000,2012-07-02 00:00:00.000
261,"LL Road Frame - Black, 62",Components,Road Frames,204.6251,337.22,2013-07-01 00:00:00.000,2013-07-02 00:00:00.000
262,"LL Road Frame - Red, 44",Components,Road Frames,181.4857,306.5636,2011-07-01 00:00:00.000,2011-07-02 00:00:00.000
263,"LL Road Frame - Red, 44",Components,Road Frames,187.1571,337.22,2012-07-01 00:00:00.000,2012-07-02 00:00:00.000
264,"LL Road Frame - Red, 48",Components,Road Frames,181.4857,306.5636,2011-07-01 00:00:00.000,2011-07-02 00:00:00.000
265,"LL Road Frame - Red, 48",Components,Road Frames,187.1571,337.22,2012-07-01 00:00:00.000,2012-07-02 00:00:00.000
266,"LL Road Frame - Red, 52",Components,Road Frames,181.4857,306.5636,2011-07-01 00:00:00.000,2011-07-02 00:00:00.000
267,"LL Road Frame - Red, 52",Components,Road Frames,187.1571,337.22,2012-07-01 00:00:00.000,2012-07-02 00:00:00.000
268,"LL Road Frame - Red, 58",Components,Road Frames,181.4857,306.5636,2011-07-01 00:00:00.000,2011-07-02 00:00:00.000
269,"LL Road Frame - Red, 58",Components,Road Frames,187.1571,337.22,2012-07-01 00:00:00.000,2012-07-02 00:00:00.000
270,"LL Road Frame - Red, 60",Components,Road Frames,181.4857,306.5636,2011-07-01 00:00:00.000,2011-07-02 00:00:00.000
271,"LL Road Frame - Red, 60",Components,Road Frames,187.1571,337.22,2012-07-01 00:00:00.000,2012-07-02 00:00:00.000
272,"LL Road Frame - Red, 62",Components,Road Frames,181.4857,306.5636,2011-07-01 00:00:00.000,2011-07-02 00:00:00.000
273,"LL Road Frame - Red, 62",Components,Road Frames,187.1571,337.22,2012-07-01 00:00:00.000,2012-07-02 00:00:00.000
274,"ML Road Frame - Red, 44",Components,Road Frames,352.1394,594.83,2011-07-01 00:00:00.000,2011-07-02 00:00:00.000
275,"ML Road Frame - Red, 48",Components,Road Frames,352.1394,594.83,2011-07-01 00:00:00.000,2011-07-02 00:00:00.000
276,"ML Road Frame - Red, 52",Components,Road Frames,352.1394,594.83,2011-07-01 00:00:00.000,2011-07-02 00:00:00.000
277,"ML Road Frame - Red, 58",Components,Road Frames,352.1394,594.83,2011-07-01 00:00:00.000,2011-07-02 00:00:00.000
278,"ML Road Frame - Red, 60",Components,Road Frames,352.1394,594.83,2011-07-01 00:00:00.000,2011-07-02 00:00:00.000
279,"LL Road Frame - Black, 44",Components,Road Frames,176.1997,297.6346,2011-07-01 00:00:00.000,2011-07-02 00:00:00.000
280,"LL Road Frame - Black, 44",Components,Road Frames,170.1428,306.5636,2012-07-01 00:00:00.000,2012-07-02 00:00:00.000
